Modifier / Underwriting Metric,Microsoft,Amazon,Liberty Mutual,Apple
Mergers and Acquisitions,AVERAGE,VERY FAVOURABLE,FAVOURABLE,VERY FAVOURABLE
Amount of sensitive information,PARTIALLY FAVOURABLE,PARTIALLY UNFAVOURABLE,FAVOURABLE,PARTIALLY UNFAVOURABLE
Domain Encryption,PARTIALLY FAVOURABLE,AVERAGE,PARTIALLY FAVOURABLE,FAVOURABLE
Geographic Spread,FAVOURABLE,PARTIALLY FAVOURABLE,FAVOURABLE,FAVOURABLE
Internet footprint,AVERAGE,VERY FAVOURABLE,PARTIALLY FAVOURABLE,AVERAGE
Nature of services,FAVOURABLE,FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE
Organizational Complexity,VERY FAVOURABLE,FAVOURABLE,AVERAGE,VERY FAVOURABLE
Privacy Regulation,PARTIALLY FAVOURABLE,FAVOURABLE,AVERAGE,PARTIALLY UNFAVOURABLE
Seasonality of sales,PARTIALLY UNFAVOURABLE,AVERAGE,AVERAGE,AVERAGE
Volatility/Recovery in Sales,AVERAGE,PARTIALLY UNFAVOURABLE,PARTIALLY FAVOURABLE,PARTIALLY FAVOURABLE
Applicability of Privacy Regulation,AVERAGE,AVERAGE,AVERAGE,AVERAGE
B2C End Products,AVERAGE,FAVOURABLE,AVERAGE,PARTIALLY FAVOURABLE
Years in business,VERY FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE,VERY FAVOURABLE
Cybersecurity Info,FAVOURABLE,AVERAGE,PARTIALLY FAVOURABLE,-
Industry & Company Breach History,FAVOURABLE,VERY FAVOURABLE,FAVOURABLE,-
Unusual Exposure,AVERAGE,AVERAGE,PARTIALLY FAVOURABLE,PARTIALLY FAVOURABLE
Final Risk Category,PARTIALLY FAVOURABLE,FAVOURABLE,FAVOURABLE,FAVOURABLE
